Joint Type,Scan Iteration,theta_x,theta_y,delta_z
3-arm SLET,1,-0.004895305178126692,0.0005184497842672002,0.40991029214398744
3-arm SLET,2,-0.003842453379263668,0.0004368807540172754,0.27418505910814617
3-arm SLET,3,-0.003251409217998517,-0.00016561444125674324,0.4423732157751816
3-arm SLET,4,-0.0029386086398705998,0.00047306537113305744,0.20950239095569784
3-arm SLET,5,-0.0030665500233379704,0.0015915435439838048,0.17253087159064076
3-arm Spring,1,0.034263215469130574,0.0009183235852606743,0.0805349523115797
3-arm Spring,2,0.03572383286979575,0.0009688465326783155,0.10917219912641096
3-arm Spring,3,0.03333999439562678,0.000949824102272568,0.09181608694245558
3-arm Spring,4,0.03348769715625629,0.0006290211374054848,0.06974552945973533
3-arm Spring,5,0.03430357238430561,0.0005594562748540408,0.09328370173554479
Cymaldo,1,-0.001954442114838053,0.0008550297830628227,0.207627337137122
Cymaldo,2,0.0026615899828777248,-5.444803759002406e-05,0.015047482797527129
Cymaldo,3,-0.0025497106845646044,0.0008263089396857347,0.29496134176411215
Cymaldo,4,-0.00332286818953941,5.219289280022801e-05,0.30684848193313746
Cymaldo,5,-0.0008877223580196334,0.0014137863580923954,0.15413217830799722
Mag2Mag (0-6) v2,1,0.027001421211496176,0.0005138991185673083,0.08162181594856421
Mag2Mag (0-6) v2,2,0.02637227338546417,0.0008854569154005583,0.046487534722940094
Mag2Mag (0-6) v2,3,0.02604540489096409,0.0008297094194946468,0.03773011088696254
Mag2Mag (0-6) v2,4,0.026883863621905424,0.0012071282672990273,0.5979468630471083
Mag2Mag (0-6) v2,5,0.02663271264770317,0.0009496511181832307,0.6007065484885878
Elegant CCLET,1,-0.0205022052390379,0.0005197464059567577,1.7947264194050576
Elegant CCLET,2,-0.017800700563826523,0.000744326127544796,1.5291781578566401
Elegant CCLET,3,-0.01739947718211639,0.0007550766862539112,1.4980312562763962
Elegant CCLET,4,-0.0211581957645681,0.0012033698499740858,1.8550062276538677
Elegant CCLET,5,-0.017484970721370285,0.0007639885137205856,1.5169623253761684
KC and CLET (1-5) v3,1,-0.001020533931490827,0.00048126868288808855,0.1322072844294561
KC and CLET (1-5) v3,2,0.0008153853565892335,0.0002634037299029273,0.0024879571443179455
KC and CLET (1-5) v3,3,0.001190313792747859,0.0006365652527368464,-0.03773344848597858
KC and CLET (1-5) v3,4,-0.0004571099493376202,0.0006375055287870586,0.022299980145456078
KC and CLET (1-5) v3,5,0.0004127480070808119,0.00044600420697172487,0.006245689382772854
KC and CLET (1-5) v4,1,-0.001761856756740926,0.0007710251088529201,0.22368184692116286
KC and CLET (1-5) v4,2,-0.002746395202622327,0.000636772082290791,0.1885975516854888
KC and CLET (1-5) v4,3,0.0005313294549305931,0.0007468372946701425,0.18767354851746343
KC and CLET (1-5) v4,4,-0.0026062621375732647,0.0009954139544816243,0.5358368994116259
KC and CLET (1-5) v4,5,-0.00888446606809513,0.00017608200890381409,0.798802373367691
Mag2Mag (0-6) v1,1,-0.0108556137735093,-0.00039539799779009764,0.7841015905738993
Mag2Mag (0-6) v1,2,-0.007688505807614419,0.0005477126322159962,0.7461705904003281
Mag2Mag (0-6) v1,3,-0.005161936799938263,-0.00023489381682592758,0.33830151349433335
Mag2Mag (0-6) v1,4,-0.020574967200842127,-0.0012247455904555089,1.6008612187833144
Mag2Mag (0-6) v1,5,-0.008915294669722039,-0.0006546812902856633,0.6478779547113935
Mag2Mag (1-5),1,0.0077793086695522595,-5.7881647880340526e-05,0.07952681319567084
Mag2Mag (1-5),2,0.00810569110411116,0.0005317019942498463,0.02093794684889161
Mag2Mag (1-5),3,0.007269050048093209,0.0006615134874901922,0.08614498821989164
Mag2Mag (1-5),4,0.005718161256870782,0.0011116910533592135,0.027767193402297274
Mag2Mag (1-5),5,0.005904285056340455,-1.620126994817598e-05,0.15799137051164236
Monolithic CLET MaLDO,1,-0.0032072783245505657,-0.0003963477704687442,0.3635149603062888
Monolithic CLET MaLDO,2,-0.004864226678129012,-0.0010011655064656147,0.3768203702255556
Monolithic CLET MaLDO,3,-0.0030784464020042457,-0.0009667348219275243,0.39847797960506653
Monolithic CLET MaLDO,4,-0.004536885039816804,-0.0011204667326933382,0.3839948900716719
Monolithic CLET MaLDO,5,-0.004711996377077526,-0.0009470451812098064,0.40146208238127923
