Joint Type,Scan Iteration,theta_x,theta_y,delta_z
3-arm SLET,1,-0.004895305178126692,0.0005184497842672002,0.40991029214398744
3-arm SLET,2,-0.003842453379263668,0.0004368807540172754,0.27418505910814617
3-arm SLET,3,-0.003251409217998517,-0.00016561444125674324,0.4423732157751816
3-arm SLET,4,-0.0029386086398705998,0.00047306537113305744,0.20950239095569784
3-arm SLET,5,-0.0030665500233379704,0.0015915435439838048,0.17253087159064076
3-arm Spring,1,0.034263215469130574,0.0009183235852606743,0.0805349523115797
3-arm Spring,2,0.03572383286979575,0.0009688465326783155,0.10917219912641096
3-arm Spring,3,0.03333999439562678,0.000949824102272568,0.09181608694245558
3-arm Spring,4,0.03348769715625629,0.0006290211374054848,0.06974552945973533
3-arm Spring,5,0.03430357238430561,0.0005594562748540408,0.09328370173554479
Cymaldo,1,-0.001954442114838053,0.0008550297830628227,0.207627337137122
Cymaldo,2,0.0026615899828777248,-5.444803759002406e-05,0.015047482797527129
Cymaldo,3,-0.0025497106845646044,0.0008263089396857347,0.29496134176411215
Cymaldo,4,-0.00332286818953941,5.219289280022801e-05,0.30684848193313746
Cymaldo,5,-0.0008877223580196334,0.0014137863580923954,0.15413217830799722
